model,dataset,method,n,local_em_pct,local_f1_pct,judge_acc_pct,avg_calls,source,notes
Qwen2.5-14B,MuSiQue,Self-Consistency,500,56.8,58.91,56.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,Consensus,500,58.4,59.62,57.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,MAD,500,56.8,58.03,55.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,dMAD,500,48.2,48.9,47.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,CDSD-Soft,500,59.8,61.22,57.8,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,CDSD-JudgeFix,500,60.8,59.63,57.2,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,CDSD-Granularity+Type,500,62.6,62.21,59.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,MuSiQue,Tree-CDSD v6.2 / Tri-Projection Debate Tree,500,65.0,61.79,61.2,30.31,results/ldt/v62/musique_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl,selected strong tree full500
Qwen2.5-14B,StrategyQA,CoT,500,87.8,84.82,90.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,Self-Consistency,500,91.8,91.44,91.8,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,Consensus,500,91.0,91.0,91.0,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,MAD,500,89.6,89.6,89.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,dMAD,500,62.6,62.09,62.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,CDSD-Soft,500,93.6,93.6,93.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,CDSD-JudgeFix,500,93.6,93.6,93.6,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,CDSD-Granularity+Type,500,93.4,93.4,93.4,,clean-project/analysis/data/llm_judge_multihop_all_methods_q32judge_summary.csv,baseline full500
Qwen2.5-14B,StrategyQA,Tree-CDSD v6.2 / Tri-Projection Debate Tree,500,94.0,94.0,94.0,10.31,results/ldt/v62/strategyqa_ldtv5_v62_triproj_terminalfix_q25_14b_full500_w128.jsonl,selected strong tree full500
